study_short,study_short,study_location,wood_species,site,treatment.if.multiple.included.,total.sites,year.of.observation,total.years.of.study,percent_mass_loss,percent_invertebrate_contribution,comments,percent_mass_remaining,pml2
"Ulyshen, 2014","Ulyshen, 2015","Mississippi, USA",Pinus taeda,unflooded,,2,0.5,2.6,27.78,2.49,Reports specific gravity/ initial volume. MU calculated % mass loss using this formula: (SGprotected-SGunprotected)/(SGinitial-SGunprotected) where SGinitial equals 0.45 (apparently this is an average SG I measured using freshly-cut wood at the beginning of the study).,72.22,771.7284
"Ulyshen, 2014","Ulyshen, 2015","Mississippi, USA",Pinus taeda,flooded,,2,1,2.6,24.59,3.51,Reports specific gravity/ initial volume. MU calculated % mass loss using this formula: (SGprotected-SGunprotected)/(SGinitial-SGunprotected) where SGinitial equals 0.45 (apparently this is an average SG I measured using freshly-cut wood at the beginning of the study).,75.41,604.6681
"Ulyshen, 2014","Ulyshen, 2015","Mississippi, USA",Pinus taeda,unflooded,,2,1,2.6,-1.3,-0.23,Reports specific gravity/ initial volume. MU calculated % mass loss using this formula: (SGprotected-SGunprotected)/(SGinitial-SGunprotected) where SGinitial equals 0.45 (apparently this is an average SG I measured using freshly-cut wood at the beginning of the study).,101.3,1.69
"Ulyshen, 2014","Ulyshen, 2015","Mississippi, USA",Pinus taeda,flooded,,2,1.5,2.6,17.5,3.14,Reports specific gravity/ initial volume. MU calculated % mass loss using this formula: (SGprotected-SGunprotected)/(SGinitial-SGunprotected) where SGinitial equals 0.45 (apparently this is an average SG I measured using freshly-cut wood at the beginning of the study).,82.5,306.25
"Ulyshen, 2014","Ulyshen, 2015","Mississippi, USA",Pinus taeda,unflooded,,2,1.5,2.6,11.63,2.21,Reports specific gravity/ initial volume. MU calculated % mass loss using this formula: (SGprotected-SGunprotected)/(SGinitial-SGunprotected) where SGinitial equals 0.45 (apparently this is an average SG I measured using freshly-cut wood at the beginning of the study).,88.37,135.2569
"Ulyshen, 2014","Ulyshen, 2015","Mississippi, USA",Pinus taeda,flooded,,2,2,2.6,30.83,7.62,Reports specific gravity/ initial volume. MU calculated % mass loss using this formula: (SGprotected-SGunprotected)/(SGinitial-SGunprotected) where SGinitial equals 0.45 (apparently this is an average SG I measured using freshly-cut wood at the beginning of the study).,69.17,950.4889
"Ulyshen, 2014","Ulyshen, 2015","Mississippi, USA",Pinus taeda,unflooded,,2,2,2.6,42.11,11.23,Reports specific gravity/ initial volume. MU calculated % mass loss using this formula: (SGprotected-SGunprotected)/(SGinitial-SGunprotected) where SGinitial equals 0.45 (apparently this is an average SG I measured using freshly-cut wood at the beginning of the study).,57.89,1773.2521
"Ulyshen, 2014","Ulyshen, 2015","Mississippi, USA",Pinus taeda,flooded,,2,2.6,2.6,19.84,5.08,Reports specific gravity/ initial volume. MU calculated % mass loss using this formula: (SGprotected-SGunprotected)/(SGinitial-SGunprotected) where SGinitial equals 0.45 (apparently this is an average SG I measured using freshly-cut wood at the beginning of the study).,80.16,393.6256
"Ulyshen, 2014","Ulyshen, 2015","Mississippi, USA",Pinus taeda,unflooded,,2,2.6,2.6,13.67,3.76,Reports specific gravity/ initial volume. MU calculated % mass loss using this formula: (SGprotected-SGunprotected)/(SGinitial-SGunprotected) where SGinitial equals 0.45 (apparently this is an average SG I measured using freshly-cut wood at the beginning of the study).,86.33,186.8689
"Ulyshen et al., 2016","Ulyshen et al., 2017","Mississippi, USA",Liquidambar styraciflua,forest,bark,1,1.7,1.7,38.53,11.62,Study also compared sealed/unsealed. Only unsealed values used here.,61.47,1484.5609
